Participant,Timestamp,Happy_Low_M1,Happy_Low_M2,Happy_High_M1,Happy_High_M2,Angry_Low_M1,Angry_Low_M2,Angry_High_M1,Angry_High_M2
P10,0.3085,0.7163584958,0.686300659,0.9017928283,0.7774133305,0.748737656,0.9011755717,0.8103808815,0.7141819163
P10,0.309,0.7424606162,0.8029834851,0.9268204344,0.7589003205,0.6383227465,0.9710066254,0.7913877265,0.7608809358
P10,0.3095,0.6902894719,0.8756406655,0.8633061861,0.7350098019,0.5479722133,1.02555805,0.7893967048,0.831653095
P10,0.31,0.6744361692,0.8165872951,0.8351549513,0.7395283106,0.6478475614,1.00653196,0.8296445652,0.8416338231
P10,0.3105,0.7206767985,0.7000169584,1.040669326,0.7803511786,0.7791526235,0.9210384109,0.8040949182,0.8478285525
P10,0.311,0.7885932997,0.6710451071,1.150294814,0.7983480989,0.8425838594,0.8888918012,0.7117133391,0.8739358145
P10,0.3115,0.7277585234,0.7145579859,1.030634403,0.7605391135,0.8528878149,0.9008430811,0.685798787,0.9368262438
P10,0.312,0.7150495995,0.8351463793,0.8010230371,0.7686406042,0.8736234967,0.8420863247,0.7096804885,0.9559876123
P10,0.3125,0.6876459785,0.8532258301,0.73271982,0.7641361348,0.9096915245,0.8153650279,0.671527356,0.9117134318
P10,0.313,0.7963943427,0.7982698793,0.7747249468,0.7466240987,0.8777014586,0.830149408,0.6846831883,0.9628607871
P10,0.3135,0.9008482492,0.7737374656,0.7267977882,0.7639823736,0.7823737544,0.8438467304,0.7132713725,1.012080196
P10,0.314,0.8194588799,0.8187539696,0.7550170869,0.8054860456,0.6711435217,0.8452470754,0.6925008842,0.9663045273
P10,0.3145,0.7639685191,0.8638508435,0.9003776324,0.8205662026,0.6041824589,0.880204668,0.7136236483,0.8746348005
P10,0.315,0.6899662922,0.8238160933,0.8461000681,0.8184648956,0.6655134985,0.9379854326,0.7928384264,0.8631301318
P10,0.3155,0.8366808233,0.7242687519,0.8023546232,0.7932422327,0.6886002949,0.9323075648,0.8498505423,0.8660411837
P10,0.316,0.8754163089,0.662144592,0.9011572393,0.8114144993,0.6621161179,0.8967893581,0.831067083,0.8535544493
P10,0.3165,0.7770898431,0.7200514461,0.8904714636,0.8031245345,0.7585439801,0.8788158439,0.8149844722,0.8425897725
P10,0.317,0.7965216338,0.9059762757,0.8787032054,0.7315948563,0.7665190272,0.9187675896,0.8406425299,0.8220298583
P10,0.3175,0.8313969689,0.956893999,0.8850543893,0.7304223784,0.6795643636,0.9636616952,0.8964751958,0.8366694017
P10,0.318,0.7909370835,0.8658401317,0.8325170303,0.7291746716,0.758613854,0.9570461884,0.8444100318,0.8417904885
P10,0.3185,0.776555767,0.8413723525,0.7567535433,0.7187648091,0.880311459,0.9190826529,0.7130427796,0.7859286938
P10,0.319,0.7500617648,0.8624788032,0.8460862562,0.7351004608,0.9304186791,0.9339846278,0.7554041159,0.7787111041
P10,0.3195,0.6761060591,0.8518717364,0.867057066,0.7349311652,0.9499306647,0.9163897794,0.8044498189,0.7974119912
P10,0.32,0.7365573721,0.7785462449,0.7450133092,0.6709200438,1.061215807,0.852512485,0.7142372253,0.8225517504
P10,0.3205,0.7235288205,0.7798875649,0.7608362701,0.6814436692,0.9851090769,0.8269918958,0.695874191,0.8055418915
P10,0.321,0.7568811604,0.8841050932,0.753903562,0.7172652287,0.81952874,0.868849544,0.7343034482,0.7983598062
P10,0.3215,0.7521802173,0.9020241484,0.6228039203,0.6813343158,0.7421118792,0.8434048228,0.7742879026,0.7794266029
P10,0.322,0.7216240014,0.8633023417,0.7650195298,0.6493513556,0.6465881342,0.7829900571,0.760918411,0.7435522446
P10,0.3225,0.7109073272,0.788898131,0.8510688272,0.6948523389,0.7522235237,0.7105905941,0.68033116,0.7234561346
P10,0.323,0.6812606217,0.7763631945,0.7661124643,0.8048477058,0.8912488076,0.6889708522,0.6627168542,0.711521597
P10,0.3235,0.7114987775,0.7366393766,0.7596368677,0.8549089451,0.9293302314,0.6933059079,0.7382303916,0.7495196578
P10,0.324,0.7020228649,0.7649047196,0.6932761413,0.8221130472,0.9148140661,0.6582425576,0.7683051503,0.7810221568
P10,0.3245,0.7010575569,0.7885933142,0.7227242146,0.8113356214,0.9568305859,0.6178627866,0.8051962344,0.7827677454
P10,0.325,0.6522258995,0.79154539,0.8210846252,0.8352343001,0.8826479891,0.6694340305,0.8655186689,0.7676077946
P10,0.3255,0.5916089948,0.7932099954,0.7630800843,0.8862149076,0.8406623493,0.7281175695,0.8309228425,0.7854426407
P10,0.326,0.5978966842,0.831776295,0.6896457212,0.905943732,0.8203790529,0.6974787068,0.7709466689,0.8348514363
